,Total_Repayments__c,,,Amount,,
,count,min,max,count,min,max
Cluster_result,,,,,,
200,65,5,5,65,1350,1350
201,296,5,5,296,1400,1400
202,648,7,7,648,900,900
203,36,5,5,36,1150,1150
204,53,9,9,53,5000,5000
205,1276,2,2,1276,400,400
206,950,2,2,950,600,600
207,165,6,6,165,1200,1200
208,198,7,7,198,550,550
209,27,7,7,27,2100,2100
210,77,15,15,77,2500,2500
211,437,2,2,437,700,700
212,431,2,2,431,800,800
213,585,2,2,585,1000,1000
214,45,2,2,45,1100,1100
215,149,5,5,149,1700,1700
216,204,2,2,204,550,550
217,93,6,6,93,650,650
218,300,7,7,300,850,850
219,36,16,16,36,1500,1500
220,17,2,2,17,1600,1600
221,20,2,2,20,1700,1700
222,22,6,6,22,1700,1700
223,333,14,14,333,2050,2050
224,249,4,4,249,450,450
225,119,4,4,119,550,550
226,1144,14,14,1144,700,700
227,63,8,8,63,750,750
228,248,10,10,248,850,850
229,627,10,10,627,900,900
230,151,14,14,151,950,950
231,379,10,10,379,2500,2500
232,254,4,4,254,1200,1200
233,516,2,2,516,350,350
234,359,6,6,359,800,800
235,12,5,5,12,2750,2750
236,9,5,5,9,3300,3300
237,50,7,7,50,4500,4500
238,80,3,3,80,1800,1800
239,74,5,5,74,1900,1900
240,105,6,6,105,3000,3000
241,79,3,3,79,3500,3500
242,847,10,10,847,450,450
243,795,3,3,795,800,800
244,43,4,4,43,950,950
245,54,2,2,54,950,950
246,120,2,2,120,1200,1200
247,88,3,3,88,1400,1400
248,51,4,4,51,1400,1400
249,434,4,4,434,2000,2000
250,95,6,6,95,2500,2500
251,116,2,2,116,650,650
252,402,8,8,402,3000,3000
253,67,18,18,67,3000,3000
254,137,2,2,137,750,750
255,583,4,4,583,800,800
256,178,10,10,178,1400,1400
257,1283,14,14,1283,1500,1500
258,102,6,6,102,900,900
259,159,5,5,159,950,950
260,30,6,6,30,1250,1250
261,197,7,7,197,1250,1250
262,140,7,7,140,2500,2500
263,292,7,7,292,1400,1400
264,729,15,15,729,2050,2050
265,116,8,8,116,2100,2100
266,310,2,2,310,450,450
267,216,7,7,216,450,450
268,3172,10,10,3172,200,200
269,1304,10,10,1304,350,350
270,142,14,14,142,350,350
271,12,7,7,12,4200,4200
272,21,8,8,21,4200,4200
273,95,6,6,95,550,550
274,293,14,14,293,1300,1300
275,9,17,17,9,2500,2500
276,361,13,13,361,2050,2050
277,33,12,12,33,600,600
278,441,26,26,441,2050,2050
279,255,14,14,255,300,300
280,44,19,19,44,2050,2050
281,541,10,10,541,550,550
282,131,14,14,131,1250,1250
283,28,8,8,28,650,650
284,25,18,18,25,1000,1000
285,79,4,4,79,1100,1100
286,167,14,14,167,550,550
287,173,14,14,173,1700,1700
288,211,14,14,211,1800,1800
289,94,9,9,94,2500,2500
290,73,30,30,73,2500,2500
291,40,14,14,40,4500,4500
292,246,14,14,246,850,850
293,485,14,14,485,900,900
294,745,7,7,745,1450,1450
295,47,2,2,47,1300,1300
296,22,8,8,22,900,900
297,210,3,3,210,550,550
298,109,8,8,109,600,600
299,75,8,8,75,800,800
300,39,26,26,39,2500,2500
301,188,2,2,188,1500,1500
302,58,7,7,58,1750,1750
303,286,9,9,286,2050,2050
304,395,14,14,395,750,750
305,317,14,14,317,400,400
306,284,10,10,284,1100,1100
307,61,10,10,61,2200,2200
308,267,16,16,267,2500,2500
309,45,36,36,45,3000,3000
310,9,24,24,9,3500,3500
311,602,10,10,602,750,750
312,117,10,10,117,950,950
313,116,10,10,116,1250,1250
314,16,10,10,16,1650,1650
315,40,10,10,40,1750,1750
316,40,14,14,40,1950,1950
317,24,15,15,24,3500,3500
318,15,16,16,15,3800,3800
319,115,20,20,115,5000,5000
320,11,6,6,11,1900,1900
321,31,7,7,31,2200,2200
322,90,12,12,90,3000,3000
323,18,18,18,18,3500,3500
324,128,3,3,128,2500,2500
325,13,10,10,13,2700,2700
326,396,10,10,396,3000,3000
327,13,2,2,13,3000,3000
328,173,3,3,173,3000,3000
329,114,4,4,114,3000,3000
330,40,4,4,40,3500,3500
331,48,3,3,48,4000,4000
332,28,2,2,28,4000,4000
333,191,14,14,191,200,200
334,35,7,7,35,1850,1850
335,143,16,16,143,4000,4000
336,56,8,8,56,4500,4500
337,6,12,12,6,200,200
338,27,15,15,27,1000,1000
339,57,6,6,57,1400,1400
340,25,5,5,25,4000,4000
341,8,12,12,8,1350,1350
342,89,17,17,89,2050,2050
343,7,13,13,7,800,800
344,60,7,7,60,3500,3500
345,223,7,7,223,950,950
346,56,5,5,56,1050,1050
347,103,1,1,103,200,200
348,131,1,1,131,600,600
349,31,16,16,31,1200,1200
350,59,1,1,59,1500,1500
351,27,5,5,27,3200,3200
352,30,14,14,30,4000,4000
353,55,4,4,55,4000,4000
354,58,7,7,58,4000,4000
355,5,4,4,5,4700,4700
356,23,8,8,23,4800,4800
357,65,24,24,65,2500,2500
358,37,30,30,37,3000,3000
